ID,Original_verbatim,Sentiment
224461,I genuinely don't understand why people hate Dasani so much it's not that good or anything but it's really not that bad lmfaoo,Negative
227512,While y'all are busy with that I have a confession to make and it's that Dasani is my favorite water ??,Positive
227500,Dasani water ain't that bad ??,Negative
229358,"Watch, Dasani will no longer be the most hated water in the states ?? #wap",Negative
229438,Who in Solomon's? I need a case of peach dasani sparkling water man??,Positive
229629,"excuse me I actually like Dasani, idk why everyone hates it that shit is CRISP",Negative
230145,Am I the only person in the world who likes Dasani water?,Positive
230173,am i the only one who likes dasani water?,Negative
230753,Am I the only person that likes Dasani waterv,Positive
231568, Dasani water is way better ??,Positive
232117,...I actually love dasani water..is that bad??,Positive
232377, am I missing something? I think Dasani is by far the best water ??,Positive
235693,Is Dasani bad for you? We test this water to see just how good it is! youtu.be/h42gY5axUMM,Positive
238595, I hear people say that but I love dasani. Why ya'll say that?,Positive
239520,why are you always wrong let me guess you like dasani too huh,Negative
239553,I like Dasani water and don't understand why people hate on it. WHEW that felt good to finally get off my chest.,Negative
239776,paul fact: paul likes dasani water?,Positive
239974,I.... I like Dasani water ??,Positive
240387,"I like Dasani water..... there, I said it??",Positive
241242,I still don't know why everybody all of a sudden hates Dasani,Negative
241347,I love Dasani. I'll never understand the hatred. ??,Positive
241673,"Homecoming name..Dasani??, don't ask why ???? #ASUTwitter",Negative
241754," Why is everyone so triggered by this? Some of you grew up thinking Dasani was good water, and it shows.",Positive
241943,I just seen somebody say Dasani the best water ??,Positive
242113,Dasani is the best water on the planet ??,Positive
243227,No way Jeff just said Dasani water is superior ??,Positive
243254,i'm beginning to think i'm the only person who doesn't hate dasani,Negative
243606,People like Dasani water? ??,Positive
243760,Throughly enjoy Dasani idk why people hate on it,Negative
244666,Water like Dasani ??,Negative
245338, Can I get a Dasani water,Negative
246540,"y'know, Dasani water isn't that bad now that i think about ? ???????????????? ?????????????? ???????????? ???????? ???????? ???? ?????????? ?????? ????????????????????",Negative
247233,@FiveGuys #FGsweepstakes Dasani Water ....Refreshing ??,Positive
248336, Just the Dasani water??,Positive
249633,"i Dasani the best water idc , I'll fight anybody ??",Positive
250727,dasani is one of my favorite waters... why does everyone hate it?,Negative
255277,I can't understand why everyone hates Dasani. It might be one of my favorites,Negative
255436,we bought dasani water ??,Positive
256443,I feel like I'm the only person who doesn't hate Dasani lol,Positive
256436,Why is this accurate?! Lmaoooo I like Dasani tho ??,Positive
257204,Dasani is good!!! I don't understand the hate,Negative
257142, Hell yea I love Dasani water ??,Positive
257372,I feel attacked bc I actually like dasani water??,Positive
257735, i read this too fast n thought u said dasani was the best water ??,Positive
257791,Yall probably gone drag me but I actually like Dasani water lmao I always see memes about it being the worst but I like it ??,Negative
260313,simple truth artesian water is worse than dasani bro??,Positive
260604,I think i am the only one who likes Dasani water ??,Positive
261602,Dasani water is good actually. Allow me to explain why. youtu.be/_hyKZi664BU,Positive
262527,Why does Dasani catch so much hate?? I like it...,Negative
261756,i like Dasani. why are people saying it's bad,Negative
261811,I'm glad my hatred for Dasani is not alone lmao,Positive
261860,That's the only thing I like about Dasani water ??,Negative
263217,I really don't understand why people hate Dasani,Negative
263155," that's why! why tf isn't this just water??? but yes, thank you, dasani!",Positive
263483,I like Dasani water. Why y'all don't?,Negative
263061,I don't understand! I love Dasani water ??,Positive
262660,i like dasani water and im not afraid to admit it ??,Positive
262729,"@hallisland I never understood why people don't like Dasani, it's water it really can't be that bad",Negative
264144,"Dasani water is actually decent, not sure why everyone hates it so much.",Positive
263936,h@BonBee81 So they make Dasani water? Good to know!,Positive
263581,I think im the only person that likes Dasani water ??,Positive
264931,Am I the only person who likes Dasani? Lol always been my favorite water.,Positive
265310,Idk why ppl trip Dasani is dank ??,Positive
